Location,From_Actor,From_DMU,To_Actor,To_DMU,Amount_IDR,Type
Garut,Farmer,1,Rice Miller,1,16200000.0,Standard Flow
Garut,Farmer,2,Rice Miller,1,8100000.0,Standard Flow
Garut,Farmer,3,Rice Miller,1,14850000.0,Standard Flow
Garut,Farmer,4,Rice Miller,1,13050000.0,Standard Flow
Garut,Farmer,5,Rice Miller,1,10200000.0,Standard Flow
Garut,Farmer,6,Rice Miller,1,3600000.0,Standard Flow
Garut,Farmer,7,Rice Miller,1,8100000.0,Standard Flow
Garut,Farmer,8,Rice Miller,1,7850000.0,Standard Flow
Garut,Farmer,9,Rice Miller,1,29700000.0,Standard Flow
Garut,Farmer,10,Rice Miller,1,36450000.0,Standard Flow
Garut,Farmer,11,Rice Miller,1,13050000.0,Standard Flow
Garut,Farmer,12,Rice Miller,1,28200000.0,Standard Flow
Garut,Farmer,13,Rice Miller,1,9400000.0,Standard Flow
Garut,Farmer,14,Rice Miller,1,2100000.0,Standard Flow
Garut,Farmer,15,Rice Miller,1,19800000.0,Standard Flow
Garut,Farmer,16,Rice Miller,1,6750000.0,Standard Flow
Garut,Farmer,17,Rice Miller,1,9300000.0,Standard Flow
Garut,Farmer,18,Rice Miller,1,25650000.0,Standard Flow
Garut,Farmer,19,Rice Miller,1,6750000.0,Standard Flow
Garut,Farmer,20,Rice Miller,1,13500000.0,Standard Flow
Garut,Farmer,21,Rice Miller,1,5400000.0,Standard Flow
Garut,Farmer,22,Rice Miller,1,6750000.0,Standard Flow
Garut,Farmer,23,Rice Miller,1,5400000.0,Standard Flow
Garut,Farmer,24,Rice Miller,1,6750000.0,Standard Flow
Garut,Farmer,25,Rice Miller,1,14850000.0,Standard Flow
Garut,Farmer,26,Rice Miller,1,9249999.999999821,Standard Flow
Garut,Farmer,26,Rice Miller,2,25400000.00000018,Standard Flow
Garut,Farmer,27,Rice Miller,2,49500000.0,Standard Flow
Garut,Farmer,28,Rice Miller,2,13180000.0,Standard Flow
Garut,Farmer,29,Rice Miller,2,1740000.0,Standard Flow
Garut,Farmer,30,Rice Miller,2,25650000.0,Standard Flow
Garut,Farmer,31,Rice Miller,2,15150000.0,Standard Flow
Garut,Farmer,32,Rice Miller,2,10100000.0,Standard Flow
Garut,Farmer,33,Rice Miller,2,30000000.0,Standard Flow
Garut,Farmer,34,Rice Miller,2,19000000.0,Standard Flow
Garut,Farmer,35,Rice Miller,2,27540000.0,Standard Flow
Garut,Farmer,36,Rice Miller,2,24750000.0,Standard Flow
Garut,Farmer,37,Rice Miller,2,14850000.0,Standard Flow
Garut,Farmer,38,Rice Miller,2,9900000.0,Standard Flow
Garut,Farmer,39,Rice Miller,2,14850000.0,Standard Flow
Garut,Farmer,40,Rice Miller,2,16875000.0,Standard Flow
Garut,Farmer,41,Rice Miller,2,16514999.999999821,Standard Flow
Garut,Farmer,41,Rice Miller,3,32985000.00000018,Standard Flow
Garut,Farmer,42,Rice Miller,3,9900000.0,Standard Flow
Garut,Farmer,43,Rice Miller,3,16200000.0,Standard Flow
Garut,Farmer,44,Rice Miller,3,28800000.0,Standard Flow
Garut,Farmer,45,Rice Miller,3,18600000.0,Standard Flow
Garut,Farmer,46,Rice Miller,3,9900000.0,Standard Flow
Garut,Farmer,47,Rice Miller,3,24750000.0,Standard Flow
Garut,Farmer,48,Rice Miller,3,14850000.0,Standard Flow
Garut,Farmer,49,Rice Miller,3,6550000.0,Standard Flow
Garut,Farmer,50,Rice Miller,3,36450000.0,Standard Flow
Garut,Farmer,51,Rice Miller,3,2100000.0,Standard Flow
Garut,Farmer,52,Rice Miller,3,19800000.0,Standard Flow
Garut,Farmer,53,Rice Miller,3,19114999.99999982,Standard Flow
