dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),Location
1,2800.0,4900000.0,1400000.0,644000.0,3640000.0,364000.0,470000.0,16200000.0,Garut
2,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,540000.0,8100000.0,Garut
3,2000.0,2000000.0,700000.0,200000.0,2600000.0,260000.0,690000.0,14850000.0,Garut
4,1000.0,1800000.0,800000.0,230000.0,1300000.0,100000.0,340000.0,13050000.0,Garut
5,800.0,1520000.0,580000.0,184000.0,1040000.0,104000.0,350000.0,10200000.0,Garut
6,800.0,1400000.0,550000.0,184000.0,1040000.0,104000.0,350000.0,3600000.0,Garut
7,1000.0,400000.0,500000.0,230000.0,1300000.0,180000.0,490000.0,8100000.0,Garut
8,1400.0,700000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,7850000.0,Garut
9,5000.0,3500000.0,1200000.0,1150000.0,6500000.0,650000.0,690000.0,29700000.0,Garut
10,2800.0,5040000.0,1150000.0,644000.0,3640000.0,364000.0,750000.0,36450000.0,Garut
11,1000.0,1900000.0,1180000.0,230000.0,1300000.0,130000.0,390000.0,13050000.0,Garut
12,3000.0,1800000.0,850000.0,690000.0,3900000.0,390000.0,790000.0,28200000.0,Garut
13,1400.0,980000.0,800000.0,322000.0,1820000.0,182000.0,330000.0,9400000.0,Garut
14,230.0,402500.0,120000.0,52900.0,391000.0,69000.0,420000.0,2100000.0,Garut
15,1500.0,2850000.0,1800000.0,345000.0,1950000.0,195000.0,340000.0,19800000.0,Garut
16,1200.0,3960000.0,500000.0,276000.0,1560000.0,156000.0,370000.0,6750000.0,Garut
17,700.0,1225000.0,760000.0,161000.0,910000.0,91000.0,330000.0,9300000.0,Garut
18,2000.0,3600000.0,3700000.0,460000.0,2000000.0,260000.0,690000.0,25650000.0,Garut
19,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,6750000.0,Garut
20,2800.0,2800000.0,1000000.0,644000.0,3640000.0,280000.0,750000.0,13500000.0,Garut
21,1000.0,4000000.0,500000.0,230000.0,1300000.0,130000.0,440000.0,5400000.0,Garut
