dmu,Total rice purchase (kg),Total rice purchase (IDR),Building rent cost (IDR),Labor cost (IDR),Supporting equipment cost (IDR),Value of rice sold (IDR),Total precipitation (%),Precipitation quality (%),Location
1,700.0,6300000.0,1000000.0,500000.0,300000.0,6300000.0,5.0,5,Garut
2,700.0,6300000.0,1000000.0,1000000.0,300000.0,6300000.0,5.0,5,Garut
3,1000.0,10000000.0,3200000.0,5035346.79825165,1200000.0,7040000.0,5.0,5,Garut
4,900.0,9000000.0,1100000.0,6400000.0,180000.0,7920000.0,20.0,10,Garut
5,900.0,7470000.0,1500000.0,2400000.0,300000.0,8100000.0,5.0,5,Garut
6,900.0,7470000.0,1500000.0,2400000.0,300888.0,8100000.0,5.0,5,Garut
7,1700.0,17000000.0,1500000.0,1600000.0,300000.0,13200000.0,5.0,5,Garut
8,1800.0,18000000.0,3200000.0,7500000.0,250000.0,15840000.0,5.0,2,Garut
9,1800.0,18000000.0,500000.0,1600000.0,300000.0,15840000.0,5.0,5,Garut
10,1800.0,18000000.0,500000.0,6400000.0,300000.0,15840000.0,5.0,2,Garut
11,1800.0,18000000.0,3200000.0,12800000.0,300000.0,15840000.0,5.0,3,Garut
12,3000.0,30000000.0,3200000.0,10000000.0,250000.0,24640000.0,10.0,5,Garut
13,3300.0,33000000.0,1500000.0,3200000.0,600000.0,29040000.0,5.0,5,Garut
14,3600.0,34200000.0,3200000.0,4800000.0,800000.0,31680000.0,5.0,5,Garut
15,3600.0,36000000.0,3200000.0,10000000.0,600000.0,31680000.0,5.0,2,Garut
16,4200.0,39900000.0,3200000.0,6400000.0,700000.0,36960000.0,5.0,5,Garut
17,4800.0,48000000.0,2500000.0,4800000.0,800000.0,42240000.0,5.0,5,Garut
18,10000.0,83000000.0,3200000.0,1800000.0,1500000.0,88000000.0,0.0,0,Garut
19,10000.0,83000000.0,3200000.0,2014138.71930066,1500000.0,88000000.0,10.0,10,Garut
20,10000.0,83000000.0,3200000.0,2100000.0,1500000.0,88000000.0,0.0,0,Garut
21,10000.0,83000000.0,3200000.0,600000.0,100000.0,88000000.0,5.0,5,Garut
22,10000.0,83000000.0,1000000.0,1800000.0,8000000.0,88000000.0,5.0,5,Garut
23,10000.0,83000000.0,3200000.0,5035346.79825165,1500000.0,88000000.0,5.0,5,Garut
24,10000.0,83000000.0,3200000.0,500000.0,50000.0,88000000.0,5.0,5,Garut
1,9000.0,49500000.0,300000.0,1500000.0,2000000.0,66000000.0,0.0,0,Indramayu
2,7500.0,62250000.0,3200000.0,5035345.0,2000000.0,66000000.0,0.0,0,Indramayu
3,10000.0,83000000.0,3200000.0,15106035.0,1500000.0,88000000.0,0.0,0,Indramayu
4,10000.0,83000000.0,3200000.0,12084828.0,1500000.0,88000000.0,0.0,0,Indramayu
5,10000.0,83000000.0,3200000.0,7049485.517552311,1500000.0,88000000.0,0.0,0,Indramayu
6,10000.0,83000000.0,3200000.0,10800000.0,1500000.0,88000000.0,0.0,0,Indramayu
7,10000.0,83000000.0,3200000.0,8800000.0,5000000.0,88000000.0,0.0,0,Indramayu
8,10000.0,55000000.0,3200000.0,8056552.0,1500000.0,88000000.0,0.0,0,Indramayu
9,10000.0,83000000.0,3200000.0,12000000.0,5000000.0,88000000.0,0.0,0,Indramayu
10,10000.0,83000000.0,3200000.0,5280000.0,7000000.0,88000000.0,0.0,0,Indramayu
11,10000.0,83000000.0,3200000.0,15000000.0,5000000.0,88000000.0,0.0,0,Indramayu
12,14000.0,77000000.0,3200000.0,5000000.0,500000.0,103500000.0,0.0,0,Indramayu
13,20000.0,106000000.0,3200000.0,4800000.0,5000000.0,176000000.0,0.0,0,Indramayu
14,20000.0,120000000.0,3200000.0,8800000.0,10000000.0,190000000.0,0.0,0,Indramayu
15,50000.0,270000000.0,3200000.0,6000000.0,1500000.0,440000000.0,0.0,0,Indramayu
16,120000.0,960000000.0,3200000.0,8400000.0,1500000.0,1056000000.0,0.0,0,Indramayu
1,20000.0,140000000.0,3200000.0,10000000.0,1500000.0,176000000.0,0.0,0,Karawang
2,2500.0,12450000.0,3200000.0,5000000.0,1500000.0,22500000.0,20.0,20,Karawang
3,5000.0,41500000.0,3200000.0,5000000.0,3000000.0,45000000.0,0.0,0,Karawang
4,25000.0,175000000.0,8000000.0,12500000.0,1500000.0,220000000.0,10.0,20,Karawang
5,4500.0,41400000.0,1500000.0,2700000.0,2000000.0,42750000.0,5.0,10,Karawang
6,30000.0,225000000.0,7000000.0,12000000.0,1500000.0,264000000.0,0.0,0,Karawang
7,15000.0,105000000.0,3200000.0,6300000.0,1000000.0,132000000.0,40.0,15,Karawang
8,3000.0,28500000.0,1500000.0,1800000.0,1500000.0,28500000.0,20.0,40,Karawang
9,1500.0,15000000.0,1000000.0,900000.0,1500000.0,15000000.0,10.0,20,Karawang
10,10000.0,70000000.0,3200000.0,8750000.0,1500000.0,88000000.0,20.0,20,Karawang
11,1500.0,24500000.0,1500000.0,1800000.0,1200000.0,14700000.0,0.0,0,Karawang
12,10000.0,83000000.0,3200000.0,5000000.0,1300000.0,88000000.0,20.0,20,Karawang
13,2000.0,19600000.0,1900000.0,1800000.0,1000000.0,19600000.0,20.0,20,Karawang
14,10000.0,75000000.0,3200000.0,5000000.0,300000.0,88000000.0,20.0,40,Karawang
1,4000.0,40000000.0,3200000.0,6400000.0,100000.0,33440000.0,0.0,0,Subang
2,5000.0,35000000.0,3200000.0,4000000.0,500000.0,38400000.0,40.0,35,Subang
3,5000.0,34000000.0,3200000.0,3600000.0,1300000.0,40800000.0,50.0,50,Subang
4,10000.0,70000000.0,3200000.0,4900000.0,2500000.0,68600000.0,50.0,50,Subang
5,10000.0,83000000.0,3200000.0,7200000.0,1000000.0,88000000.0,0.0,0,Subang
6,10000.0,83000000.0,20000000.0,6400000.0,500000.0,88000000.0,0.0,0,Subang
7,10000.0,83000000.0,7000000.0,6000000.0,3000000.0,88000000.0,0.0,0,Subang
8,10000.0,50000000.0,3200000.0,6000000.0,500000.0,88200000.0,40.0,40,Subang
9,10000.0,70000000.0,3200000.0,4500000.0,500000.0,93100000.0,40.0,45,Subang
10,12000.0,90000000.0,3500000.0,3000000.0,2000000.0,100300000.0,30.0,30,Subang
11,15000.0,105000000.0,3200000.0,6500000.0,700000.0,130240000.0,35.0,40,Subang
12,15000.0,105000000.0,3200000.0,7500000.0,800000.0,140600000.0,35.0,35,Subang
13,20000.0,166000000.0,3200000.0,2000000.0,500000.0,148500000.0,50.0,50,Subang
14,20000.0,140000000.0,3200000.0,6500000.0,800000.0,188100000.0,30.0,30,Subang
15,25000.0,175000000.0,3200000.0,3500000.0,1000000.0,223200000.0,35.0,40,Subang
16,25000.0,175000000.0,3200000.0,7500000.0,750000.0,223200000.0,30.0,30,Subang
17,30000.0,210000000.0,3200000.0,6000000.0,700000.0,238400000.0,50.0,50,Subang
18,31500.0,261450000.0,1200000.0,10000000.0,8000000.0,277200000.0,50.0,50,Subang
19,30000.0,150000000.0,3200000.0,10500000.0,1000000.0,283100000.0,35.0,35,Subang
20,35000.0,245000000.0,3200000.0,12000000.0,800000.0,313200000.0,40.0,40,Subang
21,50000.0,250000000.0,3200000.0,12500000.0,1500000.0,448200000.0,40.0,40,Subang
1,750.0,6225000.0,1100000.0,3000000.0,850000.0,5896000.0,35.0,45,Tasikmalaya
2,1000.0,8900000.0,1500000.0,1007069.35965033,500000.0,9000000.0,15.0,20,Tasikmalaya
3,1000.0,9200000.0,1500000.0,2014138.71930066,1000000.0,9500000.0,40.0,40,Tasikmalaya
4,1200.0,11760000.0,2000000.0,2560000.0,500000.0,10560000.0,11.0,11,Tasikmalaya
5,1500.0,14250000.0,1500000.0,2014138.71930066,1500000.0,11440000.0,20.0,25,Tasikmalaya
6,1500.0,14700000.0,3200000.0,2100000.0,550000.0,13024000.0,12.0,6,Tasikmalaya
7,2000.0,19600000.0,1000000.0,1007069.35965033,700000.0,13200000.0,15.0,15,Tasikmalaya
8,2000.0,19200000.0,1000000.0,2000000.0,300000.0,13200000.0,5.0,5,Tasikmalaya
9,2000.0,17400000.0,2000000.0,5035346.79825165,350000.0,17100000.0,11.0,13,Tasikmalaya
10,2200.0,18260000.0,3200000.0,10800000.0,350000.0,17600000.0,30.0,25,Tasikmalaya
11,2400.0,23520000.0,3200000.0,3021208.07895099,1200000.0,20680000.0,5.0,7,Tasikmalaya
12,2700.0,25650000.0,3200000.0,12000000.0,750000.0,22880000.0,25.0,20,Tasikmalaya
13,3250.0,26975000.0,3200000.0,4000000.0,1200000.0,25080000.0,25.0,30,Tasikmalaya
14,3600.0,34560000.0,3200000.0,1800000.0,1500000.0,31680000.0,11.0,14,Tasikmalaya
15,4000.0,38400000.0,1500000.0,1007069.35965033,500000.0,33440000.0,5.0,5,Tasikmalaya
16,4000.0,39200000.0,1000000.0,1007069.35965033,50000.0,33440000.0,10.0,15,Tasikmalaya
17,3800.0,37240000.0,1500000.0,2100000.0,250000.0,33440000.0,5.0,6,Tasikmalaya
18,4200.0,41160000.0,3200000.0,2014138.71930066,750000.0,36080000.0,15.0,10,Tasikmalaya
19,4500.0,37350000.0,3200000.0,7200000.0,1100000.0,37840000.0,23.0,42,Tasikmalaya
20,6000.0,57000000.0,3200000.0,5035345.0,1500000.0,52800000.0,12.0,14,Tasikmalaya
21,10000.0,83000000.0,500000.0,3600000.0,300000.0,88000000.0,15.0,17,Tasikmalaya
22,10000.0,83000000.0,2000000.0,3021208.07895099,6000000.0,88000000.0,14.0,16,Tasikmalaya
23,10000.0,83000000.0,8000000.0,5035346.79825165,3000000.0,88000000.0,12.0,18,Tasikmalaya
24,10000.0,83000000.0,2000000.0,1007069.35965033,1250000.0,88000000.0,13.0,15,Tasikmalaya
25,10000.0,83000000.0,1000000.0,1007069.35965033,600000.0,88000000.0,20.0,15,Tasikmalaya
26,10000.0,83000000.0,1000000.0,5000000.0,1000000.0,88000000.0,40.0,40,Tasikmalaya
27,10000.0,83000000.0,2000000.0,1100000.0,280000.0,88000000.0,12.0,15,Tasikmalaya
28,10000.0,83000000.0,2000000.0,2400000.0,200000.0,98000000.0,10.0,13,Tasikmalaya
29,40000.0,332001481.4814816,3200000.0,6000000.0,6500000.0,350240000.0,45.0,30,Tasikmalaya
