dmu,Number of machines (unit),Value of milled grains (IDR),Amount of milled rice (Kg),Labor cost (IDR),Supporting equipment cost (IDR),nilaiberashasilgiling,Total revenue of milling machine (IDR),Location
1,4.0,330999999.9999998,40000.0,8987594.96676165,1599538.46153846,387053194.51556003,37440000.0,Garut
2,5.0,315000000.0,42000.0,7190075.97340932,1599538.46153846,420000000.0,35000000.0,Garut
3,2.0,240000000.0,36000.0,2000000.0,3000000.0,360000000.0,30000000.0,Garut
4,2.0,270000000.0,36000.0,4500000.0,6000000.0,360000000.0,30000000.0,Garut
5,1.0,300000000.0,38412.0,8950146.65440015,1599538.46153846,384120000.0,31200000.0,Garut
6,1.0,208000000.0,2400.0,3595037.98670466,2025000.0,23223191.6709336,20800000.0,Garut
7,1.0,162000000.0,21000.0,3595037.98670466,3600000.0,210000000.0,25000000.0,Garut
8,4.0,120000000.0,18000.0,2000000.0,3000000.0,180000000.0,15000000.0,Garut
9,2.0,150000000.0,18000.0,3595037.98670466,2000000.0,180000000.0,18000000.0,Garut
10,3.0,138000000.0,16500.0,1797518.99335233,3000000.0,165000000.0,15600000.0,Garut
11,1.0,75000000.0,9000.0,8950146.65440015,540000.0,90000000.0,7800000.0,Garut
12,1.0,50000000.0,6000.0,1797518.99335233,1000000.0,60000000.0,8000000.0,Garut
13,1.0,34200000.0,3900.0,8950146.65440015,2160000.0,39000000.0,3120000.0,Garut
14,1.0,24000000.0,3600.0,3595037.98670466,609000.0,36000000.0,4800000.0,Garut
15,2.0,20000000.0,3000.0,3595037.98670466,1599538.46153846,30000000.0,4000000.0,Garut
16,1.0,27000000.0,2700.0,1300000.0,1050000.0,27000000.0,2340000.0,Garut
17,1.0,15750000.0,2100.0,8950146.65440015,420000.0,21000000.0,1820000.0,Garut
18,1.0,15000000.0,1800.0,1200000.0,1599538.46153846,17000000.00000001,2400000.0,Garut
19,1.0,15000000.0,2100.0,8950146.65440015,1500000.0,20320292.7120669,1560000.0,Garut
20,1.0,16500000.0,2100.0,8950146.65440015,800000.0,21000000.0,1560000.0,Garut
21,1.0,5000000.0,600.0,3595037.98670466,150000.0,5400000.0,520000.0,Garut
22,1.0,5000000.0,600.0,3595037.98670466,150000.0,5400000.0,520000.0,Garut
23,1.0,5000000.0,600.0,3595037.98670466,150000.0,5400000.0,520000.0,Garut
24,1.0,5000000.0,500.0,3595037.98670466,150000.0,5000000.0,520000.0,Garut
1,3.0,5000000000.000004,600000.0,17975189.9335233,1599538.46153846,5400000000.0,468000000.0,Indramayu
2,5.0,300000000.0,38412.0,53925569.8005699,1599538.46153846,384120000.0,31200000.0,Indramayu
3,4.0,4200000000.0,588000.0,48000000.0,1599538.46153846,5689681959.378733,436800000.0,Indramayu
4,6.0,1600000000.0,240000.0,17599999.99999998,1599538.46153846,2322319167.09336,166400000.0,Indramayu
5,3.0,600000000.0,72000.0,7190075.97340932,5000000.0,696695750.128008,52000000.0,Indramayu
6,4.0,400000000.0,58000.0,40000000.0,1599538.46153846,561227132.047562,8800000.0,Indramayu
