dmu,Value of rice purchase (IDR),Building rent cost (IDR),Labor cost (IDR),Supporting equipment cost (IDR),Precipitation quality (%),Value of rice sold (IDR),Location
1,80000000.0,32500000.0,4500000.0,1000000.0,5.0,100000000.0,Garut
2,9000000.0,10000000.0,600000.0,600000.0,5.0,9000000.0,Garut
3,9000000.0,10000000.0,600000.0,600000.0,5.0,9000000.0,Garut
4,15999999.99999999,10000000.0,1000000.0,7000000.0,5.0,15999999.99999999,Garut
5,114000000.0,4000000.0,8000000.0,2000000.0,0.0,27500000.0,Garut
6,27000000.0,4000000.0,8000000.0,1000000.0,5.0,30000000.0,Garut
7,360000000.0,15000000.0,4200000.0,3000000.0,5.0,40000000.0,Garut
8,60000000.0,1500000.0,4000000.0,600000.0,5.0,66000000.0,Garut
9,66500000.0,4000000.0,8000000.0,3000000.0,5.0,80500000.0,Garut
10,76500000.0,1500000.0,7200000.0,5000000.0,5.0,90000000.0,Garut
11,114000000.0,4000000.0,8000000.0,2000000.0,20.0,99000000.0,Garut
12,90000000.0,1500000.0,4500000.0,1000000.0,5.0,99999999.99999991,Garut
13,95000000.0,4000000.0,5000000.0,600000.0,5.0,115000000.0,Garut
14,150000000.0,1500000.0,7000000.0,5000000.0,5.0,157500000.0,Garut
15,171000000.0,4000000.0,8000000.0,2000000.0,10.0,165000000.0,Garut
16,90000000.0,5000000.0,8000000.0,2000000.0,20.0,180000000.0,Garut
17,171000000.0,4000000.0,8000000.0,1000000.0,5.0,207000000.0,Garut
18,300000000.0,10000000.0,5000000.0,7000000.0,5.0,400000000.0,Garut
19,500000000.0,6000000.0,8000000.0,5000000.0,5.0,550000000.0,Garut
20,20000000.0,4000000.0,8000000.0,2000000.0,0.0,185400000.0,Garut
21,45000000.0,4000000.0,8000000.0,2000000.0,0.0,49500000.0,Garut
22,80000000.0,4000000.0,8000000.0,3000000.0,5.0,88000000.0,Garut
23,45000000.0,4000000.0,8000000.0,1350000.0,10.0,49500000.0,Garut
24,80000000.0,4000000.0,8000000.0,1000000.0,5.0,88000000.0,Garut
25,114000000.0,4000000.0,8000000.0,2000000.0,1.0,36000000.0,Garut
1,114000000.0,8000000.0,3000000.0,2000000.0,0.0,150000000.0,Indramayu
2,114000000.0,4000000.0,8000000.0,6000000.0,0.0,180000000.0,Indramayu
3,114000000.0,4000000.0,20000000.0,5000000.0,0.0,760000000.0,Indramayu
4,114000000.0,30000000.0,24000000.0,5000000.0,0.0,180000000.0,Indramayu
5,114000000.0,4000000.0,18000000.0,20000000.0,0.0,180000000.0,Indramayu
6,114000000.0,4000000.0,6160000.0,30000000.0,0.0,180000000.0,Indramayu
7,340000000.00000024,12000000.0,6000000.0,12000000.0,0.0,396000000.0,Indramayu
8,114000000.0,4000000.0,12000000.0,10000000.0,0.0,897600000.0,Indramayu
9,1080000000.0,2000000.0,10000000.0,5000000.0,0.0,1320000000.0,Indramayu
10,1620000000.0,5000000.0,12000000.0,15000000.0,0.0,1980000000.0,Indramayu
